"Year","Make","Model","HorsePower","Price","ConsumerRating","ConsumerReviews","SellerType","SellerName","SellerRating","SellerReviews","StreetName","State","Zipcode","DealType","ComfortRating","InteriorDesignRating","PerformanceRating","ValueForMoneyRating","ExteriorStylingRating","ReliabilityRating","Color","InteriorColor","Drivetrain","MinMPG","MaxMPG","FuelType","Transmission","Engine","Engine Capacity(L)","Cylinder","VIN","Stock#","Mileage","bodyType","numberOfDoors"
"2019","BMW","330 i xDrive","258","39521","4.9","30","Dealer","BMW of Kansas City South","4.8","162","1200 W 104th St KCMO","MO","64114","Fair","4.9","4.9","5","4.6","4.9","4.9","Jet Black","Black","All-wheel Drive","25","34","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBA5R7C52KAE83015","N03109A","39669","Sedan","4"
"2019","BMW","X7 xDrive50i","530","81749","4.1","22","Dealer","Perillo Downers Grove","4.4","84","330 Ogden Ave Downers Grove","IL","60515","Fair","4.5","4.6","4","3.4","4.5","3.5","Mineral White Metallic","Tartufo","All-wheel Drive","15","21","Gasoline","8-Speed Automatic","4.4L V8 32V GDI DOHC Twin Turbo","4.4","8","5UXCX4C53KLS35838","DG3705A","27289","SUV","4"
"2019","BMW","330 i","258","39597","4.9","30","Dealer","Century Automotive","2.1","12","3800 University Dr NW Huntsville","AL","35816","Good","4.9","4.9","5","4.6","4.9","4.9","Black Sapphire Metallic","Cognac","Rear-wheel Drive","26","36","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBA5R1C51KAJ98753","J98753","19377","Sedan","4"
"2019","BMW","X3 M40i","360","47997","4.7","99","Dealer","Century Automotive","2.1","12","3800 University Dr NW Huntsville","AL","35816","Fair","4.7","4.7","4.8","4.3","4.8","4.6","Alpine White","Black","All-wheel Drive","20","27","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXTS3C51KLR72979","P8585","33855","SUV","4"
"2021","BMW","Gasoline","286","7100","4.6","5","Private","Bryan","4.8","585","Knoxville","TN","37919","NA","4.8","4.6","4.8","4","4.6","4.6","Blue","Brown","All-wheel Drive","0","0","Plug-In Electric/Gas","Transmission w/Dual Shift Mode","389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas","3","6","5UXTA6C01M9G38169","–","10500","SUV","4"
"2010","BMW","128 128i","230","8999","4.7","10","Dealer","A & H Quality Cars","4.1","49","25354 Pleasant Valley Rd Chantilly","VA","20152","Good","4.3","4.4","4.8","4.8","4.9","4.7","Black Sapphire Metallic","Black","Rear-wheel Drive","18","28","Gasoline","Automatic","3.0L DOHC 24-valve I6 engine -inc: double-VANOS steplessly varia","3","6","WBAUP9C54AVL89249","L89249","94876","Coupe","2"
"2019","BMW","X5 xDrive40i","340","56998","4.7","55","Dealer","Paul Miller BMW","4.9","692","1515 Route 23 South Wayne","NJ","7470","Good","5","4.9","4.9","4.4","4.7","4.6","Black Sapphire Metallic","Black","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C57KLL34295","F19785","18031","SUV","4"
"2019","BMW","M550 i Xdrive","530","44718","4.5","3","Dealer","Euro Motor Haus","2.8","40","305 East Shore Rd Great Neck","NY","11023","Great","5","4.7","5","3.7","4","4","Black","Black","All-wheel Drive","18","25","Gasoline","sport automatic","8 Cylinder Engine","5","8","WBAJB9C50KB289250","UC229S","38336","Sedan","4"
"2020","BMW","M4 Base","431","72735","4.9","1","Dealer","Pacific BMW","4.6","3551","800 S Brand Blvd Glendale","CA","91204","Great","5","5","5","4","5","5","White","–","Rear-wheel Drive","18","25","Gasoline","Manual","3.0L I6 24V GDI DOHC Twin Turbo","3","6","WBS4Y9C07LFH41804","605434","6626","Coupe","2"
"2020","BMW","X5 xDrive40i","340","62787","4.7","53","Dealer","BMW Northwest","4.8","780","4011 20th St E Fife","WA","98424","Great","4.8","4.8","4.8","4.4","4.7","4.7","Alpine White","Black","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C08L9C49858","BP5119B","10422","SUV","4"
"2019","BMW","330 i xDrive","258","40123","4.9","30","Dealer","McCarthy Blue Springs Hyundai","4.6","324","3000 NW S Outer Rd Blue Springs","MO","64015","Good","4.9","4.9","5","4.6","4.9","4.9","Alpine White","Black","All-wheel Drive","25","34","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBA5R7C59KAJ80651","UH6647A","39186","Sedan","4"
"2019","BMW","X3 M40i","360","47500","4.7","99","Dealer","DARCARS Lexus Of Silver Spring","4.8","1706","2505 Prosperity Terrace Silver Spring","MD","20904","Good","4.7","4.7","4.8","4.3","4.8","4.6","Carbon Black Metallic","Mocha","All-wheel Drive","20","27","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXTS3C52KLR72103","2D7809A","19572","SUV","4"
"2019","BMW","X5 xDrive40i","340","58591","4.7","55","Dealer","Casey BMW","4.8","1226","12861 Jefferson Ave Newport News","VA","23608","Fair","5","4.9","4.9","4.4","4.7","4.6","Jet Black","Black","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C54KLL63978","WU11953","31750","SUV","4"
"2019","BMW","X5 xDrive40i","340","53058","4.7","55","Dealer","Checkered Flag BMW & Mini","4.9","3037","5225 Virginia Beach Blvd Virginia Beach","VA","23462","Good","5","4.9","4.9","4.4","4.7","4.6","Black Sapphire Metallic","Ivory White","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C57KLL22759","B67689A","35662","SUV","4"
"2015","BMW","428 i xDrive","245","13899","4.8","44","Dealer","Prestige Imports Auto Sales","3.7","54","654 W Bridge St Morrisville","PA","19067","NA","4.7","4.7","4.8","4.6","4.9","4.7","Gray","Black","All-wheel Drive","22","33","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBA3N9C57FK246208","246208","68535","Coupe","2"
"2019","BMW","X7 xDrive50i","530","69888","4.1","22","Dealer","Bentley Parsippany and Paul Miller, An Authorized Rolls Royce Motor Cars Dealer","4","17","250 US Highway 46 West Parsippany","NJ","7054","Good","4.5","4.6","4","3.4","4.5","3.5","Black Sapphire Metallic","Cognac","All-wheel Drive","15","21","Gasoline","8-Speed Automatic","4.4L V8 32V GDI DOHC Twin Turbo","4.4","8","5UXCX4C59KLS38811","ZX6422","46661","SUV","4"
"2017","BMW","X5 xDrive35i","306","3195","4.7","77","Dealer","Jamaica 26 Motors","3","42","181-07 Jamaica Ave Hollis","NY","11423","Great","4.8","4.7","4.7","4.4","4.8","4.7","Black","Mocha","All-wheel Drive","18","24","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXKR0C51H0U51048","U51048","45922","SUV","4"
"2020","BMW","X5 xDrive40i","340","6394","4.7","53","Dealer","Port City Nissan","4.6","707","120 Spaulding Turnpike Portsmouth","NH","3801","Fair","4.8","4.8","4.8","4.4","4.7","4.7","Carbon Black Metallic","Ivory White","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C00L9D01614","PA7673","30523","SUV","4"
"2020","BMW","X7 xDrive40i","381","71819","4.9","22","Dealer","EchoPark Automotive Salt Lake City Delivery Center","3","2","3638 South State St Salt Lake City","UT","84115","Great","5","5","5","4.7","4.9","4.9","Arctic Gray Metallic","Tartufo","All-wheel Drive","20","25","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCW2C05L9B99731","CL9B99731","14004","SUV","4"
"2015","BMW","328 i xDrive","245","22495","4.7","107","Dealer","North Coast Auto","4.7","111","1177 Fairport Rd Fairport","NY","14450","Fair","4.7","4.7","4.8","4.5","4.8","4.6","Black","Black","All-wheel Drive","22","33","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBA3B3C53FJ984793","11477","50757","Sedan","4"
"2019","BMW","X5 xDrive40i","340","53989","4.7","55","Dealer","EchoPark Automotive Salt Lake City Delivery Center","3","2","3638 South State St Salt Lake City","UT","84115","Fair","5","4.9","4.9","4.4","4.7","4.6","Carbon Black Metallic","Black","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C52KLK82896","CKLK82896","29180","SUV","4"
"2020","BMW","X3 xDrive30i","249","40998","4.9","51","Dealer","CarMax South Broadway - Now offering Curbside Pickup and Home Delivery","3.4","35","5850 S Broadway Littleton","CO","80121","Good","5","4.9","4.9","4.7","4.9","4.9","Gray","Black","All-wheel Drive","24","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTY5C07LLT37927","22901561","33379","SUV","4"
"2017","BMW","X3 xDrive28i","245","32199","4.8","89","Dealer","Tacoma Pre-Owned Supercenter","4","2","7004 S Tacoma Way Tacoma","WA","98409","Fair","4.8","4.8","4.9","4.5","4.8","4.9","Jet Black","Mocha","All-wheel Drive","21","28","Gasoline","Automatic","Intercooled Turbo Premium Unleaded I-4 2.0 L/122","2","4","5UXWX9C3XH0W77812","UT22002","36219","SUV","4"
"2018","BMW","X3 xDrive30i","249","33962","4.8","64","Dealer","BMW of San Antonio","4.5","955","15507 W IH10 San Antonio","TX","78249","Good","4.9","4.9","4.8","4.4","4.9","4.6","Alpine White","Black","All-wheel Drive","22","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTR9C5XJLC80817","JLC80817A","49340","SUV","4"
"2020","BMW","750 i xDrive","450","7879","5","3","Dealer","Earth Motorcars","4.7","620","3216 Kellway Dr Carrollton","TX","75006","Good","5","5","5","5","5","5","Alpine White","Black","All-wheel Drive","17","25","Gasoline","8-Speed Automatic","4.4L V8 32V GDI DOHC Twin Turbo","4.4","8","WBA7U2C04LGJ59638","J59638","34376","Sedan","4"
"2019","BMW","X5 xDrive40i","340","52767","4.7","55","Dealer","BMW of Peoria","4.7","394","1720 West Pioneer Parkway Peoria","IL","61615","Fair","5","4.9","4.9","4.4","4.7","4.6","Jet Black","Black","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C59KLL35819","W6565A","41603","SUV","4"
"2019","BMW","X5 xDrive40i","340","55488","4.7","55","Dealer","BMW Certified Pre-Owned Nashville","4.5","652","4040 Armory Oaks Drive Nashville","TN","37204","Fair","5","4.9","4.9","4.4","4.7","4.6","Carbon Black Metallic","Black","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C51KLL11935","SKLL11935","42055","SUV","4"
"2019","BMW","X5 xDrive40i","340","56438","4.7","55","Dealer","Johnson Lexus of Raleigh","4.9","2445","5839 Capital Blvd Raleigh","NC","27616","Fair","5","4.9","4.9","4.4","4.7","4.6","Gray Metallic","Black","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C56KLL14040","P10057A","36600","SUV","4"
"2013","BMW","X3 xDrive28i","245","1375","4.2","82","Dealer","Premier Automotive","3.4","159","17575 Old Stage Coach Rd Dumfries","VA","22026","Great","4.5","4.4","4.3","3.8","4.5","3.8","Jet Black","Beige","All-wheel Drive","21","28","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXWX9C50D0A26980","PA5399","69831","SUV","4"
"2020","BMW","X3 xDrive30i","249","43052","4.9","51","Dealer","Circle BMW","4.9","2965","500 NJ-36 Eatontown","NJ","7724","Good","5","4.9","4.9","4.7","4.9","4.9","Phytonic Blue Metallic","Cognac","All-wheel Drive","24","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTY5C03LLT35463","U4140","18570","SUV","4"
"2019","BMW","330 i xDrive","258","29595","4.9","30","Dealer","INFINITI of Englewood","3.7","21","60 Rockwood Place ENGLEWOOD","NJ","7631","Great","4.9","4.9","5","4.6","4.9","4.9","Black Sapphire Metallic","Canberra Beige","All-wheel Drive","25","34","Gasoline","8-SPEED A/T","4 Cylinder Engine","2","4","3MW5R7J55K8B02706","K8B02706","55246","Sedan","4"
"2019","BMW","540 i xDrive","340","3995","4.9","17","Dealer","26 Motors Long Island","3.7","56","1305 Hempstead Tpke Elmont","NY","11003","Good","4.9","4.9","5","4.6","5","4.8","White","Cognac","All-wheel Drive","21","29","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","WBAJE7C53KWD53905","HD53905","35135","Sedan","4"
"2016","BMW","X3 xDrive28i","245","25985","4.6","56","Dealer","Champagne Motorcar Co.","4.7","190","106 Storrs Rd Willimantic","CT","6226","Good","4.7","4.6","4.6","4.3","4.8","4.8","Sparkling Brown Metallic","Sand Beige","All-wheel Drive","21","28","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXWX9C58G0D91668","U5674","52911","SUV","4"
"2019","BMW","X1 sDrive28i","231","31998","4.7","17","Dealer","BMW of San Francisco","4.4","197","1675 Howard St San Francisco","CA","94103","Good","4.8","4.6","4.8","4.7","4.8","4.6","Mineral White Metallic","Oyster / Black","Front-wheel Drive","23","32","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBXHU7C55K3H46295","5K3H46295T","14335","Crossover","4"
"2018","BMW","X3 xDrive30i","249","39995","4.8","64","Dealer","Fox Ford of Chicago","4.8","1661","2501 N Elston Ave Chicago","IL","60647","Fair","4.9","4.9","4.8","4.4","4.9","4.6","Carbon Black Metallic","Black","All-wheel Drive","22","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTR9C58JLC76281","22T271A","15479","SUV","4"
"2019","BMW","X5 xDrive40i","340","48481","4.7","55","Dealer","BMW of Gwinnett Place","4.7","846","3264 Commerce Ave Duluth","GA","30096","Fair","5","4.9","4.9","4.4","4.7","4.6","Mineral White Metallic","Amarone","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C53KLL24816","100092B","55931","SUV","4"
"2020","BMW","M340 i","387","50124","4.9","29","Dealer","Gastonia Chrysler Dodge Jeep Ram","4.9","3614","2339 E Franklin Blvd Gastonia","NC","28054","Great","4.8","4.8","5","4.7","4.9","4.9","Black Sapphire Metallic","Black","Rear-wheel Drive","22","30","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","WBA5U7C06LA234282","SA93322A","31213","Sedan","4"
"2019","BMW","X1 sDrive28i","231","32054","4.7","17","Dealer","BMW of Tampa","4.7","1046","109 E. Fowler Ave Tampa","FL","33612","Good","4.8","4.6","4.8","4.7","4.8","4.6","Jet Black","Black","Front-wheel Drive","23","32","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBXHU7C57K3H46606","8C72867A","30502","Crossover","4"
"2020","BMW","X3 M40i","360","49999","4.9","51","Dealer","Off Lease Only Palm Beach","4.9","27351","1200 S Congress Ave West Palm Beach","FL","33406","Good","5","4.9","4.9","4.7","4.9","4.9","Black Sapphire Metallic","Cognac","All-wheel Drive","21","27","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXTY9C06L9B58334","C366396","32204","SUV","4"
"2020","BMW","X3 M40i","360","52998","4.9","51","Dealer","Paul Miller BMW","4.9","692","1515 Route 23 South Wayne","NJ","7470","Good","5","4.9","4.9","4.7","4.9","4.9","Dark Graphite","Black","All-wheel Drive","21","27","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXTY9C07LL304255","F19795","28266","SUV","4"
"2015","BMW","435 i","306","27975","4.8","27","Dealer","Imotobank","3.1","7","4-8 Industrial Rd Walpole","MA","2081","Great","4.8","4.8","4.9","4.6","4.9","4.8","Blue","Beige","Rear-wheel Drive","20","31","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","WBA3T3C56FP738251","S76","39981","Coupe","2"
"2018","BMW","X3 xDrive30i","249","34321","4.8","64","Dealer","Parkway Toyota of Boston","4.7","1107","1605 VFW Parkway West Roxbury","MA","2132","Fair","4.9","4.9","4.8","4.4","4.9","4.6","Phytonic Blue Metallic","Black","All-wheel Drive","22","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTR9C56JLC73668","JLC73668T","49033","SUV","4"
"2020","BMW","X5 sDrive40i","340","56999","4.7","53","Dealer","BMW Fresno","4.8","315","7171 N Palm Ave Fresno","CA","93650","Good","4.8","4.8","4.8","4.4","4.7","4.7","Black Sapphire Metallic","Black","Rear-wheel Drive","21","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR4C0XLLT18568","24034","31383","Crossover","4"
