"Price","Year","Model","HorsePower","ConsumerRating","SellerRating","Color","Drivetrain","FuelRate","FuelType","Transmission","Engine Capacity(L)","Cylinder","Mileage","bodyType","numberOfDoors"
"7182000","2008","335 335i","306","4.5","2.9","Jet Black","Rear-wheel Drive","29","Gasoline","Automatic","3","6","110012","Sedan","4"
"719550","2007","750 Li","450","4.4","3.7","Silver","Rear-wheel Drive","23","Gasoline","Automatic 6-Speed","4.4","8","99320","Sedan","4"
"3233070","2015","X5 xDrive50i","329","4.7","4.4","Carbon Black Metallic","All-wheel Drive","22","Gasoline","8-Speed Automatic","4.4","8","30203","SUV","4"
"5039550","2019","X5 xDrive40i","340","4.7","4.5","Mineral White Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","19263","SUV","4"
"4661460","2019","X5 xDrive40i","340","4.7","4.5","Alpine White","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","21845","SUV","4"
"2542680","2019","330 i","258","4.9","4.7","Bronze Metallic","Rear-wheel Drive","36","Gasoline","8-Speed Automatic","2","4","49374","Sedan","4"
"3376980","2019","330 i xDrive","258","4.9","4.8","Black Sapphire Metallic","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","50001","Sedan","4"
"4473900","2019","540 i xDrive","340","4.9","4.5","Alpine White","All-wheel Drive","29","Gasoline","8-Speed Automatic","3","6","10609","Sedan","4"
"5420430","2021","X5 xDrive40i","340","4.8","4.4","Black Sapphire Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","18375","SUV","4"
"7038000","2021","X7 xDrive40i","381","5","4.9","Black Sapphire Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","17307","SUV","4"
"409320","2019","X4 xDrive30i","245","4.6","4.3","Dark Graphite","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","30537","Wagon","4"
"4814910","2019","X5 xDrive40i","340","4.7","4.7","Alpine White","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","37135","SUV","4"
"3419820","2016","740 i","380","4.8","4.5","White","Rear-wheel Drive","29","Gasoline","8-Speed Automatic","3","6","48240","Sedan","4"
"3473820","2019","X3 xDrive30i","249","4.7","4.8","Alpine White","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","31908","SUV","4"
"2069550","2015","328 i xDrive","245","4.7","4.7","Black","All-wheel Drive","33","Gasoline","8-Speed Automatic","2","4","45325","Sedan","4"
"3959550","2018","M550 M550i xDrive","462","4.6","4","Azurite Black Metallic","All-wheel Drive","25","Gasoline","Automatic","4.4","8","68195","Sedan","4"
"2950470","2018","X1 xDrive28i","231","4.8","4.8","Mineral Gray Metallic","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","34571","SUV","4"
"3311550","2019","330 i xDrive","258","4.9","4.6","Black Sapphire Metallic","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","45558","Sedan","4"
"3374010","2019","X3 xDrive30i","249","4.7","1.3","Black Sapphire Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","45390","SUV","4"
"2924910","2019","X1 xDrive28i","231","4.7","4.7","Brown Metallic","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","45309","SUV","4"
"3986550","2019","X5 xDrive40i","340","4.7","3.7","Arctic Gray Metallic","All-wheel Drive","26","Gasoline","8-SPEED A/T","3","6","46377","SUV","4"
"576540","2019","X7 xDrive40i","381","4.1","4.6","Black Sapphire Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","43029","SUV","4"
"3509550","2020","X3 xDrive30i","249","4.9","4.6","Jet Black","All-wheel Drive","29","Gasoline","Automatic","2","4","30507","SUV","4"
"3481920","2018","X5 xDrive35i","306","4.8","4.7","Dark Graphite","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","54249","SUV","4"
"449910","2019","X5 xDrive40i","340","4.7","4.7","Arctic Gray Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","39765","SUV","4"
"3059820","2018","330 i xDrive","258","4.8","4.8","White","All-wheel Drive","33","Gasoline","8-Speed Automatic","2","4","48309","Sedan","4"
"3956490","2020","X3 xDrive30i","249","4.9","4.7","Dark Graphite Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","31113","SUV","4"
"3238650","2019","330 i","258","4.9","4.8","Jet Black","Rear-wheel Drive","36","Gasoline","8-Speed Automatic","2","4","35027","Sedan","4"
"4493970","2019","X5 xDrive40i","340","4.7","4.8","Arctic Gray Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","36515","SUV","4"
"2698920","2017","X3 xDrive28i","245","4.8","4.5","Black Sapphire Metallic","All-wheel Drive","28","Gasoline","8-Speed Automatic","2","4","50296","SUV","4"
"4480920","2019","540 i xDrive","340","4.9","4.7","Dark Graphite Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","3","6","33943","Sedan","4"
"7516800","2021","X7 xDrive40i","381","5","4.8","Black Sapphire Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","11422","SUV","4"
"4319460","2018","M550 i xDrive","530","4.6","1","Bluestone Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","4.4","8","42989","Sedan","4"
"2069550","2014","435 i xDrive","241","4.8","3.4","Alpine White","All-wheel Drive","30","Gasoline","8-Speed Automatic","3","6","59517","Sedan","4"
"2295900","2016","X1 xDrive 28i","231","4.6","4.5","Jet Black","All-wheel Drive","32","Gasoline","8-Speed Automatic","2","4","48743","SUV","4"
"6658920","2019","X7 xDrive40i","381","4.1","3.4","Alpine White","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","12384","SUV","4"
"4319550","2019","540 i","340","4.9","4.1","Jet Black","Rear-wheel Drive","29","Gasoline","8-Speed Automatic","3","6","30161","Sedan","4"
"736920","2019","M850 i xDrive","530","5","4.3","Black Sapphire Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","4.4","8","19163","Coupe","2"
"3934170","2015","M4 Base","431","4.8","3.4","Orange","Rear-wheel Drive","26","Gasoline","7-Speed Automatic with Auto-Shift","3","6","38452","Coupe","2"
"3599820","2019","X3 xDrive30i","249","4.7","3.4","Silver","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","31351","SUV","4"
"3411540","2018","X5 xDrive35i","306","4.8","4.8","Alpine White","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","73009","SUV","4"
"266310","2018","X1 xDrive28i","231","4.8","4.4","Dark Olive Metallic","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","38749","SUV","4"
